#Parameters = {h=2; k=4.5; ld=25.9075; w3=2.835; w2=0.083; w1=3.28; w0=5.05; l3=8.25; l2=8.59; l1=8.09; l0=15.9; Mesh Pass=4}
#"Frequency / GHz"	"S2,1 (8) [Magnitude / dB]"
#---------------------------------------------
2.0000000000000	-1.4683631279382
2.0016000270844	-1.4693609451096
2.0032000541687	-1.4703646781643
2.0048000812531	-1.4713754736482
2.0064001083374	-1.4723917040672
2.0079998970032	-1.4734129606059
2.0095999240875	-1.4744388465662
2.0111999511719	-1.4754706677784
2.0127999782562	-1.4765063283100
2.0144000053406	-1.4775465577107
2.0160000324249	-1.4785904672153
2.0176000595093	-1.4796388917891
2.0192000865936	-1.4806901426147
2.0208001136780	-1.4817457664779
2.0223999023438	-1.4828028654703
2.0239999294281	-1.4838642063739
2.0255999565125	-1.4849287958236
2.0271999835968	-1.4859943468838
2.0288000106812	-1.4870618428448
2.0304000377655	-1.4881314470766
2.0320000648499	-1.4892028702268
2.0336000919342	-1.4902757168634
2.0352001190186	-1.4913490319432
2.0367999076843	-1.4924236915585
2.0383999347687	-1.4934981280664
2.0399999618530	-1.4945738513583
2.0415999889374	-1.4956486045246
2.0432000160217	-1.4967239961329
2.0448000431061	-1.4977989372692
2.0464000701904	-1.4988726287440
2.0480000972748	-1.4999446245638
2.0495998859406	-1.5010151900593
2.0511999130249	-1.5020852981589
2.0527999401093	-1.5031532965851
2.0543999671936	-1.5042189502577
2.0559999942780	-1.5052826665229
2.0576000213623	-1.5063436634168
2.0592000484467	-1.5074014628844
2.0608000755310	-1.5084567132996
2.0624001026154	-1.5095078643237
2.0639998912811	-1.5105559447884
2.0655999183655	-1.5115998822847
2.0671999454498	-1.5126394971413
2.0687999725342	-1.5136743070512
2.0703999996185	-1.5147064366522
2.0720000267029	-1.5157312597937
2.0736000537872	-1.5167519057058
2.0752000808716	-1.5177666456018
2.0768001079559	-1.5187765964773
2.0783998966217	-1.5197797741852
2.0799999237061	-1.5207777034923
2.0815999507904	-1.5217676043000
2.0831999778748	-1.5227515997488
2.0848000049591	-1.5237281285026
2.0864000320435	-1.5246983789833
2.0880000591278	-1.5256602304435
2.0896000862122	-1.5266148963662
2.0912001132965	-1.5275610749535
2.0927999019623	-1.5284990964649
2.0943999290466	-1.5294283284276
2.0959999561310	-1.5303484188060
2.0975999832153	-1.5312603063145
2.0992000102997	-1.5321626568605
2.1008000373840	-1.5330555488301
2.1024000644684	-1.5339379465243
2.1040000915527	-1.5348108456948
2.1056001186371	-1.5356734887597
2.1071999073029	-1.5365259160134
2.1087999343872	-1.5373668272349
2.1103999614716	-1.5381958783492
2.1119999885559	-1.5390151531122
2.1136000156403	-1.5398232724524
2.1152000427246	-1.5406174666576
2.1168000698090	-1.5414012781670
2.1184000968933	-1.5421721254798
2.1199998855591	-1.5429304556878
2.1215999126434	-1.5436767030611
2.1231999397278	-1.5444094102531
2.1247999668121	-1.5451286677223
2.1263999938965	-1.5458348515497
2.1280000209808	-1.5465261232825
2.1296000480652	-1.5472044026877
2.1312000751495	-1.5478676027764
2.1328001022339	-1.5485181397110
2.1343998908997	-1.5491529541969
2.1359999179840	-1.5497734185417
2.1375999450684	-1.5503773421371
2.1391999721527	-1.5509666859199
2.1407999992371	-1.5515405575847
2.1424000263214	-1.5520980497490
2.1440000534058	-1.5526404657669
2.1456000804901	-1.5531662617977
2.1472001075745	-1.5536752339808
2.1487998962402	-1.5541667850592
2.1503999233246	-1.5546429887583
2.1519999504089	-1.5551011403082
2.1535999774933	-1.5555413255412
2.1552000045776	-1.5559650690513
2.1568000316620	-1.5563701562209
2.1584000587463	-1.5567566626655
2.1600000858307	-1.5571262271077
2.1616001129150	-1.5574763903461
2.1631999015808	-1.5578087076009
2.1647999286652	-1.5581214744267
2.1663999557495	-1.5584155953105
2.1679999828339	-1.5586899238383
2.1696000099182	-1.5589447887687
2.1712000370026	-1.5591808034941
2.1728000640869	-1.5593957168943
2.1744000911713	-1.5595911130010
2.1760001182556	-1.5597657727424
2.1775999069214	-1.5599209707349
2.1791999340057	-1.5600546965565
2.1807999610901	-1.5601681627072
2.1823999881744	-1.5602598371485
2.1840000152588	-1.5603304005856
2.1856000423431	-1.5603806389966
2.1872000694275	-1.5604080176505
2.1888000965118	-1.5604141889449
2.1903998851776	-1.5603985690870
2.1919999122620	-1.5603598476324
2.1935999393463	-1.5602998260305
2.1951999664307	-1.5602170995833
2.1967999935150	-1.5601111237362
2.1984000205994	-1.5599821865447
2.2000000476837	-1.5598309900403
2.2016000747681	-1.5596562584795
2.2032001018524	-1.5594583917066
