#Parameters = {w0=5.05; w1=3.28; w2=0.083; w3=2.835; l0=15.9; l1=8.09; l2=8.59; l3=8.13; ld=25.9075; h=2; k=4.5}
#"Frequency / GHz"	"S1,2 [Magnitude / dB]"
#-----------------------------------------
2.0000000000000	-2.0746773518946
2.0004000000000	-2.0746307649765
2.0008000000000	-2.0745836382963
2.0012000000000	-2.0745359714476
2.0016000000000	-2.0744877640238
2.0020000000000	-2.0744390156187
2.0024000000000	-2.0743896375814
2.0028000000000	-2.0743397183157
2.0032000000000	-2.0742892568187
2.0036000000000	-2.0742382526847
2.0040000000000	-2.0741867055077
2.0044000000000	-2.0741345258698
2.0048000000000	-2.0740818035377
2.0052000000000	-2.0740285369153
2.0056000000000	-2.0739747255973
2.0060000000000	-2.0739203691785
2.0064000000000	-2.0738653774786
2.0068000000000	-2.0738098416194
2.0072000000000	-2.0737537594145
2.0076000000000	-2.0736971304593
2.0080000000000	-2.0736399543490
2.0084000000000	-2.0735821401465
2.0088000000000	-2.0735237803202
2.0092000000000	-2.0734648720966
2.0096000000000	-2.0734054150718
2.0100000000000	-2.0733454088417
2.0104000000000	-2.0732847617171
2.0108000000000	-2.0732235675051
2.0112000000000	-2.0731618228483
2.0116000000000	-2.0730995273433
2.0120000000000	-2.0730366805868
2.0124000000000	-2.0729731901427
2.0128000000000	-2.0729091511485
2.0132000000000	-2.0728445596660
2.0136000000000	-2.0727794152926
2.0140000000000	-2.0727137176255
2.0144000000000	-2.0726473734871
2.0148000000000	-2.0725804793369
2.0152000000000	-2.0725130306592
2.0156000000000	-2.0724450270520
2.0160000000000	-2.0723764681134
2.0164000000000	-2.0723072599293
2.0168000000000	-2.0722375002727
2.0172000000000	-2.0721671840537
2.0176000000000	-2.0720963108711
2.0180000000000	-2.0720248803238
2.0184000000000	-2.0719527977664
2.0188000000000	-2.0718801622771
2.0192000000000	-2.0718069681950
2.0196000000000	-2.0717332151198
2.0200000000000	-2.0716589026509
2.0204000000000	-2.0715839354175
2.0208000000000	-2.0715084137940
2.0212000000000	-2.0714323315519
2.0216000000000	-2.0713556882916
2.0220000000000	-2.0712784836137
2.0224000000000	-2.0712006214267
2.0228000000000	-2.0711222033928
2.0232000000000	-2.0710432227193
2.0236000000000	-2.0709636790075
2.0240000000000	-2.0708835718586
2.0244000000000	-2.0708028044667
2.0248000000000	-2.0707214797723
2.0252000000000	-2.0706395904223
2.0256000000000	-2.0705571360187
2.0260000000000	-2.0704741161637
2.0264000000000	-2.0703904333420
2.0268000000000	-2.0703061917639
2.0272000000000	-2.0702213835192
2.0276000000000	-2.0701360082107
2.0280000000000	-2.0700500654414
2.0284000000000	-2.0699634569926
2.0288000000000	-2.0698762883351
2.0292000000000	-2.0697885510050
2.0296000000000	-2.0697002446062
2.0300000000000	-2.0696113687426
2.0304000000000	-2.0695218244973
2.0308000000000	-2.0694317185927
2.0312000000000	-2.0693410420150
2.0316000000000	-2.0692497943690
2.0320000000000	-2.0691579752595
2.0324000000000	-2.0690654850773
2.0328000000000	-2.0689724317870
2.0332000000000	-2.0688788058284
2.0336000000000	-2.0687846068073
2.0340000000000	-2.0686898343296
2.0344000000000	-2.0685943880994
2.0348000000000	-2.0684983773143
2.0352000000000	-2.0684017918713
2.0356000000000	-2.0683046313773
2.0360000000000	-2.0682068954390
2.0364000000000	-2.0681084830801
2.0368000000000	-2.0680095047212
2.0372000000000	-2.0679099497208
2.0376000000000	-2.0678098176865
2.0380000000000	-2.0677091082261
2.0384000000000	-2.0676077196884
2.0388000000000	-2.0675057637080
2.0392000000000	-2.0674032291081
2.0396000000000	-2.0673001154974
2.0400000000000	-2.0671964224848
2.0404000000000	-2.0670920477501
2.0408000000000	-2.0669871041321
2.0412000000000	-2.0668815799226
2.0416000000000	-2.0667754747314
2.0420000000000	-2.0666687881686
2.0424000000000	-2.0665614172508
2.0428000000000	-2.0664534760115
2.0432000000000	-2.0663449522148
2.0436000000000	-2.0662358454719
2.0440000000000	-2.0661261553936
2.0444000000000	-2.0660157783398
2.0448000000000	-2.0659048295286
2.0452000000000	-2.0657932962006
2.0456000000000	-2.0656811779679
2.0460000000000	-2.0655684744426
2.0464000000000	-2.0654550813337
2.0468000000000	-2.0653411150339
2.0472000000000	-2.0652265622643
2.0476000000000	-2.0651114226381
2.0480000000000	-2.0649956957686
2.0484000000000	-2.0648792767198
2.0488000000000	-2.0647622830495
2.0492000000000	-2.0646447009629
2.0496000000000	-2.0645265300743
2.0500000000000	-2.0644077699984
2.0504000000000	-2.0642883151603
2.0508000000000	-2.0641682842727
2.0512000000000	-2.0640476630291
2.0516000000000	-2.0639264510450
2.0520000000000	-2.0638046479361
2.0524000000000	-2.0636821474954
2.0528000000000	-2.0635590695799
2.0532000000000	-2.0634353993755
2.0536000000000	-2.0633111364991
2.0540000000000	-2.0631862805674
2.0544000000000	-2.0630607247472
2.0548000000000	-2.0629345900301
2.0552000000000	-2.0628078610982
2.0556000000000	-2.0626805375697
2.0560000000000	-2.0625526190626
2.0564000000000	-2.0624239981237
2.0568000000000	-2.0622947968688
2.0572000000000	-2.0621649994804
2.0576000000000	-2.0620346055779
2.0580000000000	-2.0619036147809
2.0584000000000	-2.0617719190222
2.0588000000000	-2.0616396415315
2.0592000000000	-2.0615067659961
2.0596000000000	-2.0613732920365
2.0600000000000	-2.0612392192736
2.0604000000000	-2.0611044390331
2.0608000000000	-2.0609690756480
2.0612000000000	-2.0608331123141
2.0616000000000	-2.0606965486536
2.0620000000000	-2.0605593842886
2.0624000000000	-2.0604215099440
2.0628000000000	-2.0602830510454
2.0632000000000	-2.0601439903019
2.0636000000000	-2.0600043273368
2.0640000000000	-2.0598640617737
2.0644000000000	-2.0597230837431
2.0648000000000	-2.0595815197528
2.0652000000000	-2.0594393520290
2.0656000000000	-2.0592965801966
2.0660000000000	-2.0591532038805
2.0664000000000	-2.0590091126233
2.0668000000000	-2.0588644340044
2.0672000000000	-2.0587191497713
2.0676000000000	-2.0585732595505
2.0680000000000	-2.0584267629684
2.0684000000000	-2.0582795489860
2.0688000000000	-2.0581317462437
2.0692000000000	-2.0579833360147
2.0696000000000	-2.0578343179269
2.0700000000000	-2.0576846916082
2.0704000000000	-2.0575343454450
2.0708000000000	-2.0573834091274
2.0712000000000	-2.0572318634588
2.0716000000000	-2.0570797080686
2.0720000000000	-2.0569269425864
2.0724000000000	-2.0567734548302
2.0728000000000	-2.0566193755292
2.0732000000000	-2.0564646850213
2.0736000000000	-2.0563093829375
2.0740000000000	-2.0561534689088
2.0744000000000	-2.0559968301919
2.0748000000000	-2.0558395985438
2.0752000000000	-2.0556817538416
2.0756000000000	-2.0555232957176
2.0760000000000	-2.0553642238045
2.0764000000000	-2.0552044248043
2.0768000000000	-2.0550440314908
2.0772000000000	-2.0548830232846
2.0776000000000	-2.0547213998195
2.0780000000000	-2.0545591607299
2.0784000000000	-2.0543961921698
2.0788000000000	-2.0542326279187
2.0792000000000	-2.0540684469451
2.0796000000000	-2.0539036488844
2.0800000000000	-2.0537382333727
2.0804000000000	-2.0535720860229
2.0808000000000	-2.0534053416088
2.0812000000000	-2.0532379786514
2.0816000000000	-2.0530699967880
2.0820000000000	-2.0529013956560
2.0824000000000	-2.0527320603340
2.0828000000000	-2.0525621265793
2.0832000000000	-2.0523915724697
2.0836000000000	-2.0522203976442
2.0840000000000	-2.0520486017419
2.0844000000000	-2.0518760693139
2.0848000000000	-2.0517029370894
2.0852000000000	-2.0515291827078
2.0856000000000	-2.0513548058097
2.0860000000000	-2.0511798060360
2.0864000000000	-2.0510040674173
2.0868000000000	-2.0508277276432
2.0872000000000	-2.0506507639193
2.0876000000000	-2.0504731758878
2.0880000000000	-2.0502949631915
2.0884000000000	-2.0501160093473
2.0888000000000	-2.0499364529939
2.0892000000000	-2.0497562709075
2.0896000000000	-2.0495754627323
2.0900000000000	-2.0493940281128
2.0904000000000	-2.0492118500591
2.0908000000000	-2.0490290681477
2.0912000000000	-2.0488456587300
2.0916000000000	-2.0486616214520
2.0920000000000	-2.0484769559601
2.0924000000000	-2.0482915447647
2.0928000000000	-2.0481055283682
2.0932000000000	-2.0479188827022
2.0936000000000	-2.0477316074144
2.0940000000000	-2.0475437021532
2.0944000000000	-2.0473550489362
2.0948000000000	-2.0471657891804
2.0952000000000	-2.0469758984017
2.0956000000000	-2.0467853762502
2.0960000000000	-2.0465942223758
2.0964000000000	-2.0464023183108
2.0968000000000	-2.0462098063745
2.0972000000000	-2.0460166616727
2.0976000000000	-2.0458228838571
2.0980000000000	-2.0456284725797
2.0984000000000	-2.0454333088940
2.0988000000000	-2.0452375360106
2.0992000000000	-2.0450411286293
2.0996000000000	-2.0448440864039
2.1000000000000	-2.0446464089882
2.1004000000000	-2.0444479769643
2.1008000000000	-2.0442489344219
2.1012000000000	-2.0440492556601
2.1016000000000	-2.0438489403343
2.1020000000000	-2.0436479881007
2.1024000000000	-2.0434462790762
2.1028000000000	-2.0432439582185
2.1032000000000	-2.0430409994305
2.1036000000000	-2.0428374023699
2.1040000000000	-2.0426331666946
2.1044000000000	-2.0424281720617
2.1048000000000	-2.0422225642872
2.1052000000000	-2.0420163168825
2.1056000000000	-2.0418094295073
2.1060000000000	-2.0416019018218
2.1064000000000	-2.0413936130230
2.1068000000000	-2.0411847097809
2.1072000000000	-2.0409751652200
2.1076000000000	-2.0407649790020
2.1080000000000	-2.0405541507891
2.1084000000000	-2.0403425594226
2.1088000000000	-2.0401303523397
2.1092000000000	-2.0399175022608
2.1096000000000	-2.0397040088497
2.1100000000000	-2.0394898717707
2.1104000000000	-2.0392749695504
2.1108000000000	-2.0390594501919
2.1112000000000	-2.0388432861715
2.1116000000000	-2.0386264771554
2.1120000000000	-2.0384090228099
2.1124000000000	-2.0381908006276
2.1128000000000	-2.0379719602665
2.1132000000000	-2.0377524735892
2.1136000000000	-2.0375323402640
2.1140000000000	-2.0373115599596
2.1144000000000	-2.0370900103189
2.1148000000000	-2.0368678410493
2.1152000000000	-2.0366450238212
2.1156000000000	-2.0364215583053
2.1160000000000	-2.0361974441724
2.1164000000000	-2.0359725585097
2.1168000000000	-2.0357470519888
2.1172000000000	-2.0355208958793
2.1176000000000	-2.0352940898539
2.1180000000000	-2.0350666335859
2.1184000000000	-2.0348384037480
2.1188000000000	-2.0346095517930
2.1192000000000	-2.0343800486314
2.1196000000000	-2.0341498939382
2.1200000000000	-2.0339190873889
2.1204000000000	-2.0336875052562
2.1208000000000	-2.0334552997530
2.1212000000000	-2.0332224414376
2.1216000000000	-2.0329889299874
2.1220000000000	-2.0327547650801
2.1224000000000	-2.0325198225971
2.1228000000000	-2.0322842554976
2.1232000000000	-2.0320480339928
2.1236000000000	-2.0318111577625
2.1240000000000	-2.0315736264869
2.1244000000000	-2.0313353156638
2.1248000000000	-2.0310963789858
2.1252000000000	-2.0308567863222
2.1256000000000	-2.0306165373552
2.1260000000000	-2.0303756317674
2.1264000000000	-2.0301339446810
2.1268000000000	-2.0298916305089
2.1272000000000	-2.0296486587839
2.1276000000000	-2.0294050291907
2.1280000000000	-2.0291607414142
2.1284000000000	-2.0289156702085
2.1288000000000	-2.0286699706946
2.1292000000000	-2.0284236120735
2.1296000000000	-2.0281765940324
2.1300000000000	-2.0279289162587
2.1304000000000	-2.0276804531462
2.1308000000000	-2.0274313605110
2.1312000000000	-2.0271816072277
2.1316000000000	-2.0269311929859
2.1320000000000	-2.0266801174756
2.1324000000000	-2.0264282547378
2.1328000000000	-2.0261757612712
2.1332000000000	-2.0259226056291
